DATE,OP,MAXP,MINP,CLP,PERC,VOL,MA5,MA10,MA20,MA60,K9,D9,MACD,DIF,BIAS5,BIAS10,CLPUD,CLPUDPY,ZIG5,ZIGTRN,KDHL,KDCRS,OSC,OSCUD,OSCTRN,BBANDU,BBANDD,BBANDTCH
20131021,111.0,111.5,109.5,110.0,0.0,41327.324,108.0,106.45,104.83,101.52,84.06,79.71,1.22,1.72,1.85,3.33,,,110.0,1.0,4.060000000000002,,0.5,,,,,
20131022,110.0,111.5,109.5,111.5,1.3636,39837.172,108.9,107.3,105.13,101.67,89.38,82.93,1.37,1.99,2.39,3.91,1.0,1.0,111.5,-1.0,9.379999999999995,0.0,0.6199999999999999,1.0,0.0,,,
20131023,111.0,111.5,110.0,111.0,-0.4484,23057.73,109.9,107.9,105.43,101.81,90.35,85.41,1.53,2.14,1.0,2.87,-1.0,0.0,111.0,0.0,10.349999999999994,0.0,0.6100000000000001,-1.0,-1.0,,,
20131024,109.0,110.0,108.5,110.0,-0.9009,21570.336,110.5,108.4,105.78,101.97,85.88,85.56,1.65,2.15,-0.45,1.48,-1.0,0.0,110.5,0.0,5.8799999999999955,0.0,0.5,-1.0,0.0,,,
20131025,108.5,109.0,106.5,107.0,-2.7273,37244.5,109.9,108.45,106.05,102.06,63.31,78.15,1.7,1.89,-2.64,-1.34,-1.0,0.0,110.0,0.0,0.0,-1.0,0.18999999999999995,-1.0,0.0,,,
20131028,108.0,109.5,107.5,109.5,2.3364,21241.672,109.8,108.9,106.38,102.17,63.42,73.24,1.73,1.87,-0.27,0.55,1.0,1.0,109.5,0.0,0.0,0.0,0.14000000000000012,-1.0,0.0,,,
20131029,108.5,109.5,108.0,109.5,0.0,21531.322,109.4,109.15,106.83,102.32,62.28,69.58,1.75,1.83,0.09,0.32,0.0,1.0,109.0,0.0,0.0,0.0,0.08000000000000007,-1.0,0.0,,,
20131030,109.0,110.0,109.0,110.0,0.4566,16768.422,109.2,109.55,107.25,102.48,64.85,68.01,1.77,1.82,0.73,0.41,1.0,1.0,108.5,0.0,0.0,0.0,0.050000000000000044,-1.0,0.0,,,
20131031,108.5,109.5,108.0,109.5,-0.4545,23098.869,109.1,109.8,107.58,102.63,63.24,66.42,1.76,1.75,0.37,-0.27,-1.0,0.0,108.0,0.0,0.0,0.0,-0.010000000000000009,-1.0,0.0,,,
20131101,110.5,110.5,108.5,109.5,0.0,10870.454,109.6,109.75,107.8,102.81,62.16,65.0,1.74,1.67,-0.09,-0.23,0.0,1.0,107.5,0.0,0.0,0.0,-0.07000000000000006,-1.0,0.0,,,
